DATE,DGS1MO
2019-12-02,1.60
2019-12-03,1.56
2019-12-04,1.59
2019-12-05,1.52
2019-12-06,1.52
2019-12-09,1.54
2019-12-10,1.53
2019-12-11,1.54
2019-12-12,1.57
2019-12-13,1.55
2019-12-16,1.57
2019-12-17,1.56
2019-12-18,1.56
2019-12-19,1.54
2019-12-20,1.57
2019-12-23,1.57
2019-12-24,1.55
2019-12-25,.
2019-12-26,1.59
2019-12-27,1.56
2019-12-30,1.51
2019-12-31,1.48
2020-01-01,.
2020-01-02,1.53
2020-01-03,1.52
2020-01-06,1.54
2020-01-07,1.52
2020-01-08,1.50
2020-01-09,1.53
2020-01-10,1.52
2020-01-13,1.54
2020-01-14,1.53
2020-01-15,1.53
2020-01-16,1.54
2020-01-17,1.54
2020-01-20,.
2020-01-21,1.52
2020-01-22,1.52
2020-01-23,1.55
2020-01-24,1.54
2020-01-27,1.53
2020-01-28,1.53
2020-01-29,1.52
2020-01-30,1.59
2020-01-31,1.56
2020-02-03,1.56
2020-02-04,1.55
2020-02-05,1.55
2020-02-06,1.59
2020-02-07,1.57
2020-02-10,1.58
2020-02-11,1.57
2020-02-12,1.57
2020-02-13,1.59
2020-02-14,1.60
2020-02-17,.
2020-02-18,1.61
2020-02-19,1.61
2020-02-20,1.61
2020-02-21,1.60
2020-02-24,1.60
2020-02-25,1.59
2020-02-26,1.59
2020-02-27,1.56
2020-02-28,1.45
2020-03-02,1.41
2020-03-03,1.11
2020-03-04,1.00
2020-03-05,0.92
2020-03-06,0.79
2020-03-09,0.57
2020-03-10,0.57
2020-03-11,0.42
2020-03-12,0.41
2020-03-13,0.33
2020-03-16,0.25
2020-03-17,0.12
2020-03-18,0.04
2020-03-19,0.04
2020-03-20,0.04
2020-03-23,0.01
2020-03-24,0.01
2020-03-25,0.00
2020-03-26,0.01
2020-03-27,0.01
2020-03-30,0.04
2020-03-31,0.05
2020-04-01,0.03
2020-04-02,0.09
2020-04-03,0.09
2020-04-06,0.09
2020-04-07,0.10
2020-04-08,0.14
2020-04-09,0.20
2020-04-10,.
2020-04-13,0.17
2020-04-14,0.17
2020-04-15,0.14
2020-04-16,0.14
2020-04-17,0.12
2020-04-20,0.10
2020-04-21,0.08
2020-04-22,0.09
2020-04-23,0.09
2020-04-24,0.10
2020-04-27,0.09
2020-04-28,0.08
2020-04-29,0.10
2020-04-30,0.10
